name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
mexico city,2023-06-19,31.8,9.1,23.7,29.8,7.6,23,4,31.8,0,0,0,,0,0,28.8,26.8,91.2,1014.7,7.2,13.7,360.1,31,10,10,2023-06-19T05:58:53,2023-06-19T19:17:02,0.05,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMMX,76675099999,MMTO"
mexico city,2023-06-20,31.8,9,23.3,29.6,7.5,22.7,5.9,37.7,0,0,0,,0,0,36,26.2,20.3,1011.6,24.9,10.8,359.4,30.9,10,10,2023-06-20T05:59:05,2023-06-20T19:17:16,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
mexico city,2023-06-21,30.8,12.1,23.3,28.9,12.1,22.8,3.2,28.8,0,0,0,,0,0,27,32.6,27.1,1013.5,47.2,13.8,349.4,30.3,10,10,2023-06-21T05:59:18,2023-06-21T19:17:29,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
mexico city,2023-06-22,30.4,14.1,23.2,28.7,14.1,22.8,3.5,30.3,0,0,0,,0,0,55.4,37.1,31.3,1014.4,14.7,15,359.7,31.1,10,10,2023-06-22T05:59:31,2023-06-22T19:17:41,0.15,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-06-23,28.5,10.1,22.2,27.1,10.1,21.9,5.3,35.2,0,0,0,,0,0,36,40,16.5,1011.8,16.6,13.8,357.3,30.8,10,10,2023-06-23T05:59:45,2023-06-23T19:17:53,0.18,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMMX"
mexico city,2023-06-24,28.5,15.8,21.5,27.2,15.8,21.3,6,38.4,0,0,0,,0,0,46.4,32.6,2.6,1015.9,51.3,14.1,336.8,29.1,10,10,2023-06-24T06:00:00,2023-06-24T19:18:04,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-06-25,26.5,15,20,26.5,15,20,11.1,57.9,0,0,0,rain,0,0,36,29.1,25.3,1014.7,76.2,17.8,127.4,11,7,10,2023-06-25T06:00:15,2023-06-25T19:18:14,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-06-26,23.9,15.7,18,23.9,15.7,18,12.2,70.1,2.851,100,12.5,rain,0,0,25.2,14.3,0.6,1014.8,89.9,12.9,151.1,12.9,8,10,2023-06-26T06:00:31,2023-06-26T19:18:23,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-06-27,26.8,9.4,18.3,26.2,9.4,18.3,10.5,63.9,0.225,100,4.17,rain,0,0,37.1,22.3,353.6,1016.5,71.8,12,315.5,27.2,10,10,2023-06-27T06:00:47,2023-06-27T19:18:31,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
mexico city,2023-06-28,24.8,10.1,18.9,24.8,10.1,18.9,12,66.6,10.002,100,29.17,rain,0,0,43.2,20.4,1.9,1013.4,78.9,12,272.4,23.5,10,10,2023-06-28T06:01:04,2023-06-28T19:18:39,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
